date,open,high,low,close,volume,value
2014-12-30,646.90,652.40,642.10,644.30,7383000,4771843500
2014-12-29,650.30,650.30,637.60,645.00,10287000,6627318800
2014-12-26,645.00,650.70,641.40,647.90,8949000,5790467400
2014-12-25,650.20,653.00,646.50,651.40,7084000,4604807000
2014-12-24,667.00,667.10,651.60,654.20,12841000,8439687600
2014-12-22,670.00,677.30,662.10,665.00,10930000,7300007400
2014-12-19,655.00,666.30,654.40,665.60,14142000,9367006800
2014-12-18,652.20,658.60,642.50,645.10,15399000,9982786900
2014-12-17,646.40,649.00,641.10,642.20,10460000,6737514500
2014-12-16,659.60,660.00,648.50,650.50,11568000,7551464000
2014-12-15,655.00,678.60,651.20,669.60,16336000,10925661900
2014-12-12,664.00,670.00,658.50,658.50,16736000,11120486500
2014-12-11,650.40,659.70,645.00,657.00,12228000,7994668900
2014-12-10,680.00,681.90,662.20,669.30,17702000,11847397100
2014-12-09,685.00,692.30,677.50,692.30,15910000,10915864800
2014-12-08,696.80,697.60,685.00,692.30,11378000,7856416300
2014-12-05,692.00,694.50,680.10,693.20,10493000,7238188500
2014-12-04,695.00,695.80,688.70,693.10,13725000,9505201700
2014-12-03,692.00,696.00,685.50,688.20,10201000,7045269100
2014-12-02,686.90,693.00,683.30,690.70,10970000,7568136700
2014-12-01,679.00,684.90,670.80,684.80,9147000,6228883300
2014-11-28,676.00,678.30,669.10,678.10,8653000,5835634600
2014-11-27,685.00,687.30,676.90,679.80,11515000,7854541600
2014-11-26,673.80,684.60,669.10,682.70,9817000,6681236200
2014-11-25,690.40,690.50,674.90,679.80,16602000,11291444700
2014-11-21,668.00,678.60,666.10,678.10,18692000,12593708600
2014-11-20,660.00,673.40,654.30,672.60,26254000,17541167300
2014-11-19,639.80,644.50,631.30,643.40,19036000,12185938300
2014-11-18,625.00,632.60,615.10,630.10,14908000,9318317500
2014-11-17,629.60,633.30,617.60,620.00,14970000,9324280500
2014-11-14,640.90,644.20,618.70,626.80,24963000,15689134500
2014-11-13,648.00,648.20,626.50,628.60,28331000,17885507300
2014-11-12,667.00,667.50,648.30,649.70,19613000,12850412100
2014-11-11,674.20,679.30,659.30,660.00,19920000,13235752500
2014-11-10,675.60,682.10,670.40,675.40,14318000,9680287200
2014-11-07,692.30,696.60,676.30,678.00,14082000,9610756400
2014-11-06,689.70,702.20,686.10,693.00,19516000,13549053300
2014-11-05,684.50,691.90,677.20,679.90,19340000,13217081500
2014-11-04,704.30,707.00,683.70,684.10,30391000,21104132600
2014-10-31,655.00,674.60,639.10,664.40,44974000,29515745200
2014-10-30,690.90,699.90,688.00,690.10,9406000,6511044200
2014-10-29,688.80,695.50,686.30,693.00,9384000,6501042000
2014-10-28,693.40,695.70,676.60,681.00,9241000,6317438300
2014-10-27,699.00,699.90,693.90,696.50,8824000,6160007000
2014-10-24,698.00,698.40,683.30,689.10,11200000,7709232600
2014-10-23,699.60,699.60,687.10,689.80,8534000,5895323600
2014-10-22,692.80,699.90,692.30,699.70,10371000,7232139400
2014-10-21,699.90,700.20,678.00,679.80,14179000,9726129600
2014-10-20,688.10,707.00,685.20,700.60,17286000,12068168500
2014-10-17,675.00,677.40,666.70,668.60,14771000,9913002600
2014-10-16,669.90,680.60,662.80,671.30,14892000,10004774400
2014-10-15,675.00,685.30,670.40,683.40,13117000,8895539600
2014-10-14,662.70,676.70,657.70,668.80,16579000,11103407300
2014-10-10,667.60,683.00,662.10,675.30,14857000,9984847600
2014-10-09,691.60,692.40,673.90,675.40,13470000,9161567300
2014-10-08,687.00,697.00,686.60,694.90,16144000,11191629500
2014-10-07,700.00,703.90,683.10,693.00,19981000,13865853100
2014-10-06,680.00,690.80,677.00,685.90,17493000,12016496400
2014-10-03,650.00,669.60,650.00,667.00,14791000,9788791300
2014-10-02,657.60,668.10,648.40,649.80,12298000,8061442200
2014-10-01,678.40,678.40,667.30,667.60,9424000,6332652100
2014-09-30,681.30,682.60,670.30,675.00,11578000,7814017700
2014-09-29,693.00,697.40,680.10,683.30,9185000,6304910100
2014-09-26,676.00,687.50,672.00,686.90,9413000,6435892200
2014-09-25,687.00,689.00,675.60,687.30,13472000,9193031600
2014-09-24,689.00,693.00,681.20,683.30,13623000,9337873200
2014-09-22,703.80,704.40,696.70,699.40,9642000,6750171400
2014-09-19,711.70,714.60,699.40,702.00,18210000,12867803600
2014-09-18,708.00,709.90,703.80,706.70,15144000,10718498900
2014-09-17,700.90,706.00,700.30,702.40,11688000,8214626600
2014-09-16,685.00,695.80,681.40,694.60,14081000,9702941700
2014-09-12,686.00,692.70,680.00,681.60,26022000,17823334200
2014-09-11,714.10,714.40,690.60,696.00,16657000,11639149100
2014-09-10,698.00,706.90,693.80,706.90,11884000,8340883800
2014-09-09,719.20,720.00,692.90,695.90,16024000,11274227300
2014-09-08,713.50,715.00,703.00,708.70,7355000,5200962500
2014-09-05,720.00,722.00,709.80,713.50,6849000,4890947500
2014-09-04,714.40,721.10,707.10,712.80,10317000,7359244400
2014-09-03,735.00,736.50,712.00,714.20,12937000,9317312200
2014-09-02,712.40,731.80,711.00,729.80,9932000,7187351200
2014-09-01,716.50,717.00,706.10,710.10,6235000,4430757300
2014-08-29,717.10,719.90,707.20,713.70,13635000,9726643600
2014-08-28,731.50,731.60,713.00,716.40,12434000,8933437100
2014-08-27,745.00,745.90,728.80,731.50,9529000,7013174100
2014-08-26,738.70,743.40,737.10,739.40,9490000,7016622200
2014-08-25,735.00,739.40,727.60,736.40,7342000,5403463900
2014-08-22,736.00,737.80,726.40,727.70,11352000,8290158700
2014-08-21,742.90,743.00,731.00,735.80,9416000,6927121000
2014-08-20,746.00,747.00,734.10,737.60,6104000,4503977400
2014-08-19,751.00,751.70,737.30,742.40,6830000,5068924700
2014-08-18,748.00,749.00,734.10,738.00,5788000,4277287700
2014-08-15,753.00,753.80,742.90,745.30,5918000,4420518600
2014-08-14,751.30,752.00,745.10,747.80,8201000,6138692900
2014-08-13,731.10,743.60,727.00,742.40,8356000,6161183900
2014-08-12,738.00,738.50,722.40,731.10,9761000,7124431100
2014-08-11,730.00,738.00,716.00,737.30,12207000,8890743300
2014-08-08,730.00,733.90,707.90,715.50,18941000,13649600400
2014-08-07,743.30,746.50,725.10,742.70,19032000,14002948500
2014-08-06,760.00,760.80,742.00,743.30,17070000,12756927700
2014-08-05,786.10,787.00,756.30,757.90,14598000,11193711800
2014-08-04,774.00,790.90,772.80,783.00,13439000,10536400900
2014-08-01,810.00,817.90,770.00,773.90,20954000,16494617900
2014-07-31,799.00,805.00,794.10,801.00,15093000,12083554000
2014-07-30,795.00,801.60,788.60,797.40,9543000,7600857000
2014-07-29,800.00,802.00,790.10,796.60,18622000,14854053800
2014-07-28,792.60,794.20,773.70,788.00,15217000,11973375600
2014-07-25,802.80,803.00,788.50,796.40,8668000,6885070600
2014-07-24,807.00,809.50,792.00,797.00,11745000,9392889500
2014-07-23,795.90,808.00,792.80,795.70,14147000,11318825500
2014-07-22,775.20,795.00,775.20,790.60,14174000,11195690500
2014-07-18,762.00,786.00,761.00,782.00,14613000,11355138000
2014-07-17,764.00,772.00,762.00,768.00,9807000,7522130000
2014-07-16,773.00,773.00,758.00,761.00,10945000,8348691000
2014-07-15,772.00,775.00,768.00,770.00,7327000,5656197000
2014-07-14,768.00,771.00,759.00,770.00,6044000,4631040000
2014-07-11,754.00,766.00,750.00,762.00,7511000,5700282000
2014-07-10,771.00,775.00,766.00,766.00,4398000,3383378000
2014-07-09,759.00,774.00,758.00,774.00,8356000,6416664000
2014-07-08,771.00,779.00,763.00,774.00,7375000,5687515000
2014-07-07,777.00,779.00,770.00,772.00,4400000,3402248000
2014-07-04,778.00,784.00,777.00,778.00,8654000,6747176000
2014-07-03,774.00,778.00,769.00,772.00,9022000,6983068000
2014-07-02,770.00,771.00,761.00,765.00,8102000,6202546000
2014-07-01,760.00,768.00,755.00,763.00,9851000,7516301000
2014-06-30,750.00,759.00,749.00,759.00,8247000,6221580000
2014-06-27,767.00,767.00,738.00,750.00,14646000,10997313000
2014-06-26,753.00,774.00,753.00,765.00,19079000,14567468000
2014-06-25,736.00,741.00,732.00,738.00,5776000,4255555000
2014-06-24,730.00,738.00,728.00,734.00,6421000,4705462000
2014-06-23,743.00,750.00,734.00,738.00,7324000,5421193000
2014-06-20,749.00,756.00,740.00,740.00,16407000,12255699000
2014-06-19,718.00,743.00,716.00,742.00,19126000,14081181000
2014-06-18,699.00,713.00,698.00,712.00,8867000,6259980000
2014-06-17,708.00,712.00,690.00,692.00,11436000,8003685000
2014-06-16,718.00,721.00,703.00,709.00,9361000,6652824000
2014-06-13,705.00,724.00,705.00,723.00,12486000,8929889000
2014-06-12,705.00,712.00,705.00,712.00,8445000,5986080000
2014-06-11,710.00,715.00,706.00,710.00,7838000,5561199000
2014-06-10,718.00,720.00,709.00,711.00,8086000,5783188000
2014-06-09,718.00,718.00,709.00,714.00,6958000,4963083000
2014-06-06,716.00,718.00,707.00,710.00,6677000,4748253000
2014-06-05,723.00,727.00,709.00,712.00,10315000,7390884000
2014-06-04,718.00,728.00,716.00,727.00,13442000,9733151000
2014-06-03,715.00,718.00,703.00,716.00,12471000,8882607000
2014-06-02,697.00,703.00,695.00,702.00,10131000,7087137000
2014-05-30,710.00,711.00,680.00,689.00,19303000,13360168000
2014-05-29,692.00,704.00,688.00,702.00,14664000,10206759000
2014-05-28,696.00,704.00,693.00,699.00,10851000,7586725000
2014-05-27,695.00,699.00,689.00,690.00,12131000,8414211000
2014-05-26,678.00,693.00,676.00,692.00,14458000,9913343000
2014-05-23,667.00,675.00,664.00,672.00,10774000,7218555000
2014-05-22,662.00,672.00,659.00,663.00,13547000,9010117000
2014-05-21,642.00,655.00,642.00,655.00,8068000,5248237000
2014-05-20,639.00,653.00,638.00,649.00,9830000,6353580000
2014-05-19,647.00,648.00,628.00,630.00,10339000,6561290000
2014-05-16,648.00,651.00,641.00,649.00,6586000,4257710000
2014-05-15,653.00,660.00,651.00,656.00,6814000,4464078000
2014-05-14,663.00,663.00,652.00,662.00,8660000,5695035000
2014-05-13,665.00,665.00,655.00,660.00,9609000,6344043000
2014-05-12,657.00,663.00,646.00,649.00,8816000,5756540000
2014-05-09,648.00,661.00,646.00,657.00,9008000,5914465000
2014-05-08,651.00,659.00,647.00,651.00,12213000,7974223000
2014-05-07,654.00,667.00,648.00,649.00,25007000,16458047000
2014-05-02,643.00,662.00,642.00,659.00,24312000,15915224000
2014-05-01,638.00,649.00,635.00,638.00,31136000,19934120000
2014-04-30,606.00,606.00,590.00,600.00,9042000,5406366000
2014-04-28,603.00,607.00,591.00,598.00,8081000,4830112000
2014-04-25,607.00,618.00,604.00,610.00,9044000,5513549000
2014-04-24,618.00,624.00,606.00,614.00,7740000,4748759000
2014-04-23,605.00,620.00,604.00,619.00,9349000,5750261000
2014-04-22,616.00,617.00,597.00,598.00,7609000,4623645000
2014-04-21,621.00,622.00,609.00,615.00,5742000,3530428000
2014-04-18,612.00,620.00,607.00,619.00,7939000,4875617000
2014-04-17,605.00,612.00,600.00,603.00,9011000,5456217000
2014-04-16,594.00,601.00,591.00,601.00,9124000,5440737000
2014-04-15,590.00,596.00,584.00,589.00,8915000,5271008000
2014-04-14,583.00,590.00,583.00,583.00,6042000,3541189000
2014-04-11,580.00,595.00,578.00,587.00,9866000,5788060000
2014-04-10,605.00,610.00,594.00,598.00,9062000,5436094000
2014-04-09,585.00,594.00,584.00,588.00,10654000,6274861000
2014-04-08,608.00,609.00,594.00,595.00,8767000,5256952000
2014-04-07,607.00,614.00,607.00,610.00,9662000,5896326000
2014-04-04,608.00,621.00,605.00,615.00,13886000,8525893000
2014-04-03,629.00,631.00,619.00,627.00,8463000,5299514000
2014-04-02,629.00,638.00,623.00,624.00,12170000,7672551000
2014-04-01,623.00,634.00,621.00,629.00,14579000,9174097000
2014-03-31,626.00,627.00,615.00,624.00,13463000,8362669000
2014-03-28,610.00,621.00,605.00,620.00,16220000,9975369000
2014-03-27,587.00,618.00,586.00,614.00,22299000,13523619000
2014-03-26,577.00,594.00,575.00,593.00,13315000,7812958000
2014-03-25,560.00,576.00,552.00,570.00,19718000,11126979000
2014-03-24,579.00,590.00,569.00,573.00,14054000,8128735000
2014-03-20,600.00,601.00,575.00,575.00,13100000,7650121000
2014-03-19,598.00,604.00,588.00,590.00,13692000,8136853000
2014-03-18,600.00,605.00,593.00,594.00,9152000,5472164000
2014-03-17,581.00,583.00,576.00,578.00,10475000,6070942000
2014-03-14,600.00,605.00,585.00,586.00,21311000,12679906000
2014-03-13,605.00,623.00,602.00,610.00,15189000,9326576000
2014-03-12,605.00,610.00,601.00,605.00,13607000,8234860000
2014-03-11,623.00,626.00,609.00,615.00,15137000,9304154000
2014-03-10,630.00,631.00,616.00,622.00,15852000,9883835000
2014-03-07,639.00,640.00,629.00,637.00,16632000,10573222000
2014-03-06,633.00,639.00,626.00,637.00,19189000,12155333000
2014-03-05,640.00,642.00,631.00,634.00,28696000,18296224000
2014-03-04,605.00,617.00,604.00,612.00,16817000,10278679000
2014-03-03,625.00,629.00,608.00,618.00,14498000,8935855000
2014-02-28,636.00,641.00,623.00,634.00,20109000,12702305000
2014-02-27,620.00,655.00,618.00,645.00,34043000,21770679000
2014-02-26,629.00,630.00,618.00,625.00,16994000,10607003000
2014-02-25,638.00,640.00,629.00,634.00,13807000,8753489000
2014-02-24,648.00,648.00,627.00,635.00,15484000,9859114000
2014-02-21,641.00,649.00,640.00,645.00,13167000,8488268000
2014-02-20,640.00,641.00,629.00,632.00,18748000,11906709000
2014-02-19,638.00,652.00,632.00,647.00,27428000,17670064000
2014-02-18,616.00,633.00,609.00,632.00,20856000,12983845000
2014-02-17,607.00,615.00,593.00,615.00,13566000,8247421000
2014-02-14,614.00,634.00,601.00,608.00,20485000,12597072000
2014-02-13,628.00,631.00,616.00,617.00,16030000,9978850000
2014-02-12,607.00,625.00,599.00,623.00,24796000,15285907000
2014-02-10,592.00,606.00,577.00,606.00,24574000,14573144000
2014-02-07,595.00,610.00,585.00,598.00,21900000,13083728000
2014-02-06,577.00,603.00,575.00,588.00,24068000,14250506000
2014-02-05,573.00,577.00,553.00,563.00,38013000,21456322000
2014-02-04,581.00,593.00,570.00,571.00,38065000,22150708000
2014-02-03,570.00,605.00,569.00,601.00,51483000,30529316000
2014-01-31,556.00,585.00,549.00,578.00,74363000,42106655000
2014-01-30,505.00,513.00,503.00,512.00,12747000,6481943000
2014-01-29,505.00,517.00,504.00,517.00,10921000,5586793000
2014-01-28,496.00,505.00,494.00,494.00,10636000,5302916000
2014-01-27,499.00,509.00,492.00,494.00,20696000,10309586000
2014-01-24,528.00,533.00,510.00,515.00,19451000,10097508000
2014-01-23,553.00,557.00,534.00,534.00,19114000,10418996000
2014-01-22,531.00,548.00,530.00,546.00,13108000,7111288000
2014-01-21,534.00,541.00,530.00,532.00,9173000,4914337000
2014-01-20,539.00,547.00,529.00,530.00,10328000,5543739000
2014-01-17,538.00,542.00,534.00,541.00,11283000,6087978000
2014-01-16,544.00,555.00,539.00,541.00,12028000,6574498000
2014-01-15,538.00,544.00,536.00,544.00,8033000,4343402000
2014-01-14,530.00,534.00,523.00,526.00,13132000,6931859000
2014-01-10,543.00,548.00,537.00,544.00,13664000,7408654000
2014-01-09,557.00,557.00,542.00,550.00,10956000,6013809000
2014-01-08,544.00,560.00,541.00,559.00,13755000,7576520000
2014-01-07,535.00,543.00,531.00,542.00,9838000,5293279000
2014-01-06,540.00,543.00,535.00,541.00,9512000,5131075000
